City,Country,Temperature,Humidity,Pressure,Weather,Latitude,Longitude
Finiq,AL,13.67,84,1022,light rain,39.9058,20.0576
Qereshnik,AL,15.58,72,1017,light rain,40.7602,20.01
Pirg,AL,10.4,84,1020,moderate rain,40.7872,20.7107
Orenjë,AL,11.62,84,1018,light rain,41.2843,20.2093
Lunik,AL,11.64,89,1019,light rain,41.2852,20.3233
Librazhd,AL,13.35,87,1019,light rain,41.1794,20.315
Kodovjat,AL,14.84,79,1018,light rain,40.8056,20.2509
Vlorë,AL,18.37,58,1016,overcast clouds,40.4667,19.4897
Shëngjin,AL,13.17,93,1017,overcast clouds,41.8136,19.5939
""
Dhërmi,AL,12.48,65,1018,overcast clouds,40.1526,19.6395
""
""
Wörterberg,AT,14.35,49,1010,broken clouds,47.2167,16.1
Wörgl,AT,10.68,62,1011,scattered clouds,47.4791,12.0805
Werfen,AT,12.83,75,1011,overcast clouds,47.4667,13.1833
Weiz,AT,16.6,52,1010,broken clouds,47.2167,15.6167
Wallsee,AT,14.88,63,1011,overcast clouds,48.1672,14.7157
Waldprechting,AT,13.07,99,1013,overcast clouds,47.8975,13.1145
Voitsberg,AT,17.22,44,1010,broken clouds,47.0333,15.15
Velm,AT,16.35,60,1011,light rain,48.0443,16.4462
Untertauern,AT,6.28,76,1011,broken clouds,47.3,13.5
Tobaj,AT,15.24,48,1010,broken clouds,47.1092,16.3348
Theresienfeld,AT,14.43,75,1011,broken clouds,47.8591,16.2491
Sulzberg,DE,10.4,71,1013,light rain,47.6667,10.35
Strobl,AT,10.48,78,1012,broken clouds,47.7167,13.4833
Straßgang,AT,18.15,44,1010,broken clouds,47.0333,15.4
Steinach am Brenner,AT,11,57,1010,overcast clouds,47.0881,11.4899
Stainz bei Straden,AT,19.85,50,1010,broken clouds,46.8212,15.8983
Seekirchen am Wallersee,AT,13.26,99,1013,overcast clouds,47.9,13.1333
Schwertberg,AT,13.84,70,1011,overcast clouds,48.2741,14.5818
Schwarzach,AT,14.01,58,1012,few clouds,47.4474,9.7637
Schwanenstadt,AT,13.31,79,1012,overcast clouds,48.0531,13.7765
Schwanberg,AT,18.02,41,1010,few clouds,46.7656,15.1922
Schönau an der Triesting,AT,14.73,69,1012,light rain,47.9249,16.2529
Schattendorf,AT,14.6,60,1011,light rain,47.7179,16.5113
Schärding,AT,13.01,89,1012,overcast clouds,48.4529,13.4372
